benchmark,param,method,l2_mean,l2_std,n_params,elapsed_mean,l2_mean_std,method_group
Burgers,nu=0.005,uniform_pikan,0.2883224725723266,0.06215284492627819,2730.0,478.76071225999624,2.883e-01 ± 6.2e-02,C_BSpline
Burgers,nu=0.01,fixed_bspline_pikan,0.3016984224319458,0.022036511415775666,910.0,518.0239987800014,3.017e-01 ± 2.2e-02,C_BSpline
Burgers,nu=0.01,fixed_pikan,0.05245342701673504,0.007463519606516911,780.0,53.627096920000625,5.245e-02 ± 7.5e-03,B_Chebyshev
Burgers,nu=0.01,mlp_pinn,0.1343050047755241,0.03352830717241951,8577.0,22.453949839994312,1.343e-01 ± 3.4e-02,A_MLP
Burgers,nu=0.01,ra_pikan,0.18353104963898656,0.12135694976321942,2860.0,1252.3772597800125,1.835e-01 ± 1.2e-01,C_BSpline
Burgers,nu=0.01,rad_pinn,0.13468022346496578,0.021713736123624153,8577.0,28.04095938000828,1.347e-01 ± 2.2e-02,A_MLP
Burgers,nu=0.01,uniform_pikan,0.22098633199930187,0.10354127293658608,2730.0,494.41057522000045,2.210e-01 ± 1.0e-01,C_BSpline
Duffing,symbolic,fixed_bspline_pikan,0.1237752333283424,0.03872757915775035,840.0,225.01840882000107,1.238e-01 ± 3.9e-02,C_BSpline
Duffing,symbolic,fixed_pikan,0.7908615946769715,0.02558521073721697,720.0,50.56320796000009,7.909e-01 ± 2.6e-02,B_Chebyshev
Duffing,symbolic,mlp_pinn,0.39644260406494136,0.03259481456039201,4353.0,15.393415060000098,3.964e-01 ± 3.3e-02,A_MLP
Duffing,symbolic,ra_pikan,0.787947702407837,0.02752292742365924,720.0,50.3850993,7.879e-01 ± 2.8e-02,C_BSpline
Duffing,symbolic,rad_pinn,0.3298080205917358,0.02190344484919275,4353.0,12.457238659996074,3.298e-01 ± 2.2e-02,A_MLP
Duffing,symbolic,uniform_pikan,0.1638520687818527,0.0962567347146112,2640.0,228.0327775599988,1.639e-01 ± 9.6e-02,C_BSpline
