layer_idx,in_idx,out_idx,formula,r2
1,6,3,0.2351*exp + -0.4900*sqrt + -0.5583*tanh,0.723466157913208
1,6,4,-0.2265*cos + -0.1163*exp + 0.3071*tanh,0.6207847595214844
1,6,5,-0.6334*1 + -0.2732*cos + -0.1046*sqrt,0.6157468557357788
1,6,6,-1.3662*1 + 0.0183*sin + 0.1588*sqrt,0.8397416472434998
1,6,7,0.0093*x^4 + 0.1484*cos + -0.1557*sqrt,0.9722298979759216
1,6,8,-0.2144*x^2 + 0.0085*x^4 + -0.6151*cos,0.7624757289886475
1,6,9,-0.6644*1 + 0.2678*sqrt + -0.0642*tanh,0.8626159429550171
1,7,0,0.6170*1 + -0.9160*sin + 1.0681*tanh,0.8843651413917542
1,7,1,-0.2163*x + -0.0124*x^4 + 0.2964*tanh,0.6478919982910156
1,7,2,0.8141*1 + 0.0423*x^3 + -0.0855*exp,0.9086894392967224
1,7,3,0.0430*x^2 + 0.0744*sin + -0.1105*log,0.7003156542778015
1,7,4,0.4505*x + -0.3543*cos + -0.7615*tanh,0.781699538230896
1,7,5,0.0264*x^3 + -0.6299*cos + -0.7913*sqrt,0.5240413546562195
1,7,6,-1.4216*1 + -0.0886*sin + 0.3986*sqrt,0.91728276014328
1,7,7,-0.0717*x^2 + -0.0112*x^3 + 0.3710*sqrt,0.8860869407653809
1,7,8,-0.6630*1 + -0.0294*x^3 + 0.1077*sqrt,0.675749659538269
1,7,9,-0.6829*1 + 0.2877*x + -0.6715*tanh,0.8201726675033569
1,8,0,0.8585*1 + 0.2109*x^2 + -0.8901*sqrt,0.7843499183654785
1,8,1,-0.1411*x^2 + 0.1968*sqrt + -0.1048*tanh,0.7887210249900818
1,8,2,-0.1213*x^3 + 0.4149*cos + 0.2567*exp,0.8401457071304321
1,8,3,-0.0882*x^3 + 0.1178*cos + 0.1414*exp,0.7456640601158142
1,8,4,-0.4576*1 + -0.0488*exp + 0.3552*sqrt,0.9136674404144287
1,8,5,-0.8389*1 + 1.6297*sin + -1.7580*tanh,0.332115113735199
1,8,6,-1.2321*1 + 0.0445*x^3 + -0.0616*exp,0.7505943775177002
1,8,7,-0.1493*x^2 + -0.2980*sin + 0.0957*exp,0.8901538252830505
1,8,8,-0.8568*1 + -0.2278*x^2 + 0.8353*sqrt,0.3984959125518799
1,8,9,-0.6855*1 + 0.3062*x + -0.4975*tanh,0.5820057988166809
1,9,0,0.6028*1 + 0.0153*x^4 + -0.0474*exp,0.608094334602356
1,9,1,-0.1911*x + 0.0936*x^2 + 0.2495*sin,0.9596987366676331
1,9,2,0.6929*1 + 0.2485*x + -0.3661*tanh,0.4186026453971863
1,9,3,0.3000*1 + 0.1629*x + -0.0806*x^3,0.8257008790969849
1,9,4,0.0871*x + -0.3598*cos + -0.1838*sqrt,0.9677482843399048
1,9,5,-0.9066*1 + -0.2905*x + 0.0799*x^3,0.8611882925033569
1,9,6,-0.0864*x + -0.5047*x^2 + -1.2518*cos,0.585935115814209
1,9,7,-0.3313*x + 0.1166*x^2 + 0.3373*tanh,0.6657716631889343
1,9,8,-0.4209*1 + 0.0733*log + 0.0698*tanh,0.8539406061172485
1,9,9,-0.5050*1 + 0.3412*x + -0.4746*tanh,0.7249019742012024
2,0,0,0.1316*x^3 + -0.2551*exp + 0.6436*sqrt,0.6826261281967163
2,1,0,0.2534*exp + -0.8787*sqrt + -0.7715*tanh,0.9131559729576111
2,2,0,-0.6021*x + -0.2247*sqrt + 1.0317*tanh,0.4686647057533264
2,3,0,-3.2816*sin + -0.0849*exp + 3.5222*tanh,0.8124217987060547
2,4,0,0.1603*x^2 + 0.0147*x^3 + -0.4338*sqrt,0.6926263570785522
2,5,0,-0.2475*sin + 0.0294*exp + 0.0438*log,0.9344245791435242
2,6,0,-0.1298*1 + 1.2963*sin + -1.2969*tanh,0.6320066452026367
2,7,0,0.4041*x + -0.2810*exp + 0.7308*sqrt,0.7277194261550903
2,8,0,0.8694*x + -0.1594*sqrt + -1.4484*tanh,0.9592429995536804
2,9,0,-0.0510*1 + -0.3179*x + 0.5562*tanh,0.7978663444519043
