step,loss
0,4.794155120849609
1,4.2483110427856445
2,4.122361660003662
3,4.053767204284668
4,4.295650482177734
5,4.2989888191223145
6,4.408548831939697
7,3.9162967205047607
8,4.426421642303467
9,4.395402431488037
10,4.377656936645508
11,4.220051288604736
12,3.971811294555664
13,4.3577961921691895
14,4.010226249694824
15,4.196865081787109
16,4.184028148651123
17,3.884258985519409
18,3.9718165397644043
19,4.287586688995361
20,3.8190701007843018
21,3.9859085083007812
22,4.079238414764404
23,3.8492116928100586
24,4.229182243347168
25,4.028372764587402
26,3.9555563926696777
27,3.8507330417633057
28,3.8375134468078613
29,3.6861979961395264
30,3.6835319995880127
31,4.077233791351318
32,3.7271320819854736
33,3.864107370376587
34,3.4391281604766846
35,3.8222098350524902
36,3.659271240234375
37,3.6501753330230713
38,3.618391990661621
39,3.4256820678710938
40,3.158292293548584
41,3.6171200275421143
42,3.4408838748931885
43,3.459097385406494
44,3.285999059677124
45,3.2060251235961914
46,3.096855401992798
47,2.966708183288574
48,3.2483584880828857
49,3.297877788543701
50,3.0898330211639404
51,3.1085121631622314
52,3.088975429534912
53,3.008291721343994
54,3.0955958366394043
55,3.019563674926758
56,3.1074111461639404
57,2.938589572906494
58,2.828641891479492
59,3.024703025817871
60,2.7882111072540283
61,2.785966634750366
62,2.6648967266082764
63,2.6354868412017822
64,2.631829261779785
65,2.54931902885437
66,2.4146647453308105
67,2.4946935176849365
68,2.491240978240967
69,2.4262471199035645
70,2.1546621322631836
71,2.1074042320251465
72,1.997644305229187
73,2.0710082054138184
74,1.946187973022461
75,1.777738332748413
76,1.792140245437622
77,1.6860076189041138
78,1.7250391244888306
79,1.6269618272781372
80,1.6116664409637451
81,1.4368326663970947
82,1.5561439990997314
83,1.411790132522583
84,1.372277021408081
85,1.2421989440917969
86,1.2384394407272339
87,1.1976542472839355
88,1.0915008783340454
89,1.0406341552734375
90,1.0394041538238525
91,0.890565037727356
92,0.9572639465332031
93,0.8909940719604492
94,0.8650925159454346
95,0.7700588703155518
96,0.7655858993530273
97,0.7554793357849121
98,0.7636597156524658
99,0.6730788946151733
100,0.7126889228820801
101,0.6994730234146118
102,0.6567752361297607
103,0.6851284503936768
104,0.6158190965652466
105,0.6668118238449097
106,0.6807134747505188
107,0.6564834713935852
108,0.6329784393310547
109,0.6396070122718811
110,0.6330364346504211
111,0.6351029872894287
112,0.633600652217865
113,0.649624228477478
114,0.6066521406173706
115,0.6353356838226318
116,0.6293487548828125
117,0.6200322508811951
118,0.6521672010421753
119,0.6362401843070984
120,0.6038268208503723
121,0.5596106052398682
122,0.597393274307251
123,0.5796159505844116
124,0.5748138427734375
125,0.5889137983322144
126,0.576088547706604
127,0.5631734728813171
128,0.5536025762557983
129,0.5393528342247009
130,0.5078998804092407
131,0.5695630311965942
132,0.5522764921188354
133,0.5455939769744873
134,0.5315670967102051
135,0.5343152284622192
136,0.548515796661377
137,0.5450073480606079
138,0.5105770826339722
139,0.4765763580799103
140,0.5118592381477356
141,0.5177971720695496
142,0.49180757999420166
143,0.5489491820335388
144,0.5346648693084717
145,0.5215402841567993
146,0.5438744425773621
147,0.487905889749527
148,0.49238497018814087
149,0.5208332538604736
150,0.4887598156929016
151,0.5266714096069336
152,0.5042164325714111
153,0.4637134075164795
154,0.5127941966056824
155,0.49061113595962524
156,0.4854487180709839
157,0.48355042934417725
158,0.4531555771827698
159,0.5256677865982056
160,0.45946821570396423
161,0.48658841848373413
