layer_idx,in_idx,out_idx,formula,r2
0,0,0,-0.1398*x^2 + -0.4154*sin + 0.1424*exp,0.8319851160049438
0,0,1,-0.6447*1 + -0.1656*x^2 + 0.8052*sqrt,0.6681078672409058
0,0,2,-0.5328*1 + 0.0616*sin + 0.4256*sqrt,0.9274993538856506
0,0,3,0.2128*exp + -0.5206*sqrt + -0.6388*tanh,0.91731858253479
0,0,4,-0.2069*x^2 + -0.2788*cos + 0.5231*sqrt,0.9113801121711731
0,0,5,-1.5841*sin + -0.0592*log + 1.5137*tanh,0.8849217891693115
0,0,6,-0.6336*x + 0.3420*exp + -0.6516*sqrt,0.8619489073753357
0,0,7,0.0865*1 + 0.4507*x + -0.7428*tanh,0.6175286769866943
0,0,8,-2.1883*sin + -0.1066*log + 2.2963*tanh,0.6355377435684204
0,0,9,-0.1925*x + -0.1515*x^2 + 0.1071*exp,0.756359875202179
1,0,0,-0.7578*1 + 0.2096*x + -0.1183*exp,0.83085036277771
1,0,1,-0.5328*1 + -0.0176*x^3 + 0.0363*exp,0.6873565912246704
1,0,2,0.0442*x^3 + 1.8146*sin + -2.2224*tanh,0.8278654217720032
1,0,3,-0.1591*sin + 0.7142*cos + 1.0544*sqrt,0.7372382283210754
1,0,4,0.2276*x^2 + 0.1544*x^3 + -0.2909*exp,0.5968589782714844
1,0,5,0.4523*1 + 0.0978*x^2 + -0.4747*sqrt,0.3092040419578552
1,0,6,0.6125*1 + -0.7124*x + 1.0855*tanh,0.6263763904571533
1,0,7,0.0966*x^3 + -0.2320*exp + 0.1848*log,0.7132822275161743
1,0,8,0.5733*x + 0.0732*x^4 + -0.3194*exp,0.8060631155967712
1,0,9,0.1076*x^2 + -0.0148*x^3 + -0.1566*sqrt,0.9185460805892944
1,1,0,-1.0083*1 + -2.7646*sin + 2.9467*tanh,0.5378702878952026
1,1,1,-0.1902*x^2 + -0.0883*sin + -0.3948*cos,0.7547669410705566
1,1,2,0.1384*sin + -0.0352*log + -0.0910*sqrt,0.9362989068031311
1,1,3,1.0578*1 + 0.2332*x + -0.4348*tanh,0.5538511276245117
1,1,4,0.2696*sin + -0.0672*exp + 0.1482*log,0.8470541834831238
1,1,5,0.3203*1 + 0.8650*sin + -0.8766*tanh,0.6670621633529663
1,1,6,0.3038*x^2 + 0.8166*cos + -0.3512*sqrt,0.7487195730209351
1,1,7,-0.7933*1 + 0.0386*exp + -0.0101*log,0.9401565194129944
1,1,8,-0.3009*1 + 0.3024*x + -0.4311*tanh,0.8413537740707397
1,1,9,1.1109*sin + -0.1768*sqrt + -1.0046*tanh,0.8219736814498901
1,2,0,-0.9569*1 + 0.5303*x + -0.8981*sin,0.8380842804908752
1,2,1,-0.3215*1 + 0.0581*log + -0.0659*tanh,0.2926478981971741
1,2,2,0.2609*x + -0.6191*sin + 0.1442*cos,0.9627496004104614
1,2,3,1.1331*1 + 0.1768*x + -0.1885*tanh,0.7516433000564575
1,2,4,-0.3317*cos + 0.0365*exp + -0.6559*sqrt,0.6188599467277527
1,2,5,-0.0514*x^2 + -0.0635*log + 0.4880*sqrt,0.9046512842178345
1,2,6,0.6225*cos + -0.0585*exp + 0.6417*sqrt,0.9169442653656006
1,2,7,-0.5348*1 + 0.0636*log + -0.1381*tanh,0.7610847353935242
1,2,8,0.1747*x^2 + -0.1093*sin + -0.7302*sqrt,0.8290247321128845
1,2,9,0.4668*x + -0.0763*exp + -0.5586*tanh,0.9371447563171387
1,3,0,-0.9040*1 + 0.0660*x + -0.0649*cos,0.6232946515083313
1,3,1,-0.0638*x^2 + 0.0134*x^3 + -0.5030*cos,0.9524300694465637
1,3,2,-0.1594*x^2 + -0.0485*exp + 0.4745*sqrt,0.9369505643844604
1,3,3,1.3721*1 + 0.2110*x^2 + -0.8158*sqrt,0.7695849537849426
1,3,4,-0.0240*x^3 + -0.0295*x^4 + 0.1449*log,0.4660113453865051
1,3,5,-0.1923*x^2 + -0.0411*log + 0.7436*sqrt,0.5664161443710327
1,3,6,1.0474*1 + -0.2806*cos + -0.1851*sqrt,0.8627285361289978
1,3,7,-0.8499*1 + -0.0866*x^2 + 0.4592*sqrt,0.8707291483879089
1,3,8,-0.2191*1 + 0.2950*x + -0.3556*tanh,0.43907874822616577
1,3,9,0.0812*x^3 + -0.1810*exp + 0.5686*sqrt,0.8323659896850586
1,4,0,-0.0625*exp + 0.2677*log + -0.5734*sqrt,0.7228980660438538
1,4,1,-0.4381*1 + -0.0985*x^2 + -0.0417*sin,0.8959817290306091
1,4,2,-0.2033*x + -0.0233*x^4 + 0.1433*exp,0.5331383943557739
1,4,3,1.0723*1 + 0.2397*x + -0.4637*tanh,0.7985026240348816
1,4,4,-0.3935*1 + -0.1973*x + 0.2322*tanh,0.6648440361022949
1,4,5,-0.2062*sin + 0.2269*cos + 0.0749*exp,0.6568687558174133
1,4,6,0.8105*1 + 0.2545*x + -0.3704*tanh,0.28496021032333374
1,4,7,-0.2850*x^2 + 0.0480*sin + -0.6576*cos,0.61399245262146
1,4,8,-0.2097*1 + -0.0320*exp + 0.1129*tanh,0.439980685710907
1,4,9,-0.0947*x + 0.0925*exp + -0.5373*sqrt,0.9035215973854065
1,5,0,-0.3519*x^2 + -0.0205*x^3 + -0.8926*cos,0.6630769371986389
1,5,1,-0.5847*1 + 0.3482*sqrt + -0.1093*tanh,0.7769623398780823
1,5,2,-0.0967*x^3 + -4.7480*sin + 5.3208*tanh,0.6692432165145874
1,5,3,1.0575*1 + 0.3950*x + -0.5584*tanh,0.40638524293899536
1,5,4,-0.5449*1 + -0.0762*x^2 + 0.3751*sqrt,0.6087615489959717
1,5,5,0.4928*1 + 0.2859*sin + -0.0769*exp,0.7660372853279114
1,5,6,-0.5546*x + 0.3099*cos + 0.2598*exp,0.9078645706176758
1,5,7,-0.4055*cos + -0.1458*exp + 0.3939*tanh,0.6419602632522583
1,5,8,-0.2996*1 + -0.0548*x^3 + 0.1506*sqrt,0.809796154499054
1,5,9,0.1345*x + -0.0614*exp + 0.1490*sqrt,0.8764680624008179
1,6,0,0.3886*x + -0.5140*cos + -0.2714*exp,0.4698331356048584
1,6,1,-0.5255*1 + -0.2722*x + 0.5257*sin,0.867043673992157
1,6,2,2.3986*sin + 0.1404*exp + -3.0534*tanh,0.8778780698776245
1,6,3,1.0801*1 + 0.3642*x + -0.5972*tanh,0.5258187055587769
1,6,4,-0.3819*1 + 0.0248*sin + -0.1187*sqrt,0.5221519470214844
1,6,5,0.0199*sin + -0.0539*log + 0.5392*sqrt,0.853766918182373
1,6,6,0.8050*1 + 0.0705*x^3 + -0.0915*exp,0.37457412481307983
1,6,7,-0.2881*x^2 + 0.0108*x^3 + -0.6457*cos,0.46755480766296387
1,6,8,0.0550*log + -0.3901*sqrt + -0.0526*tanh,0.8331632614135742
1,6,9,0.5370*x + 0.0395*x^2 + -0.7953*tanh,0.8281143307685852
1,7,0,-1.1316*1 + 0.0689*exp + -0.2122*tanh,0.6827216148376465
1,7,1,0.1066*x^3 + -0.2201*cos + -0.2291*exp,0.8976224064826965
1,7,2,-0.2426*x + 0.2033*sqrt + 0.3943*tanh,0.9709294438362122
1,7,3,0.4804*x^2 + 1.2787*cos + -0.5174*sqrt,0.9151889085769653
1,7,4,-0.4034*1 + -0.1212*sqrt + -0.0411*tanh,0.5697969794273376
1,7,5,0.0931*exp + -0.0881*log + -0.2480*tanh,0.7427967190742493
1,7,6,-0.1056*sin + 0.4877*cos + 0.7473*sqrt,0.9182735085487366
1,7,7,-0.0150*sin + -0.6036*cos + -0.4605*sqrt,0.9464974403381348
1,7,8,0.0212*x^3 + -0.0883*exp + 0.0623*log,0.8732647895812988
1,7,9,-0.0092*x^4 + -0.0925*cos + 0.1541*sqrt,0.9094570875167847
1,8,0,-0.7090*1 + 0.0790*x^3 + -0.1318*exp,0.7086842060089111
1,8,1,-0.6403*1 + 0.1291*cos + 0.0716*sqrt,0.3155502676963806
1,8,2,0.4907*x + 0.1738*sqrt + -0.9943*tanh,0.9705340266227722
1,8,3,0.5259*cos + -0.1043*log + 1.1605*sqrt,0.6488703489303589
1,8,4,-0.4302*1 + -0.6518*x + 1.2289*tanh,0.8572656512260437
1,8,5,0.3744*1 + 0.0196*x^3 + -0.0300*exp,0.49793726205825806
1,8,6,0.9254*1 + 0.1718*x^2 + -0.7101*sqrt,0.37323516607284546
1,8,7,0.4950*x^2 + 0.0524*x^3 + -1.7710*sqrt,0.7740132212638855
1,8,8,-0.3071*1 + 0.2429*sqrt + -0.0660*tanh,0.6096458435058594
1,8,9,-1.4113*sin + 0.0289*log + 1.5734*tanh,0.7436621189117432
1,9,0,-1.0267*1 + 0.0134*exp + -0.0173*log,0.504467248916626
1,9,1,-0.0438*sin + -0.3656*cos + -0.4019*sqrt,0.6614693403244019
1,9,2,-0.6182*x + 0.1396*cos + 1.0755*tanh,0.783795177936554
1,9,3,1.1182*1 + 0.2889*x + -0.3880*tanh,0.47659361362457275
1,9,4,-0.4756*1 + -0.2137*sin + 0.0494*exp,0.9424801468849182
1,9,5,-2.5488*sin + 0.3175*cos + 2.7992*tanh,0.830109179019928
1,9,6,0.6416*1 + 0.1259*exp + -0.4028*tanh,0.8966376781463623
1,9,7,-0.2476*x^2 + -0.6206*cos + 0.1756*tanh,0.8376168608665466
1,9,8,0.1525*x^2 + -0.0300*exp + -0.6372*sqrt,0.4383334517478943
1,9,9,-0.1606*x^2 + 2.5933*sin + -2.5411*tanh,0.8399806022644043
2,0,0,1.0590*1 + -0.1053*x^2 + 0.0191*x^3,0.9070149064064026
2,1,0,-0.4203*x + 0.5673*cos + 0.2430*exp,0.4796603322029114
2,2,0,1.0046*1 + -0.6092*x + 1.0845*tanh,0.9741635322570801
2,3,0,0.1615*x + 0.2841*x^2 + 1.0068*cos,0.8957130908966064
2,4,0,1.1750*1 + 0.0530*sin + 0.0615*log,0.38017338514328003
2,5,0,-0.3565*x + 0.7531*cos + 0.2581*exp,0.9488589763641357
2,6,0,1.4247*1 + -0.3530*cos + -0.2299*sqrt,0.9239658117294312
2,7,0,1.1454*1 + 0.0108*x^4 + -0.4313*sqrt,0.7254930734634399
2,8,0,1.0921*1 + 0.0375*x^3 + -0.2185*sqrt,0.9699194431304932
2,9,0,1.0491*1 + 0.0524*x^3 + -0.0665*exp,0.7558286190032959
