step,loss
0,35.37674331665039
1,34.06766891479492
2,32.77778625488281
3,31.513442993164062
4,30.287166595458984
5,29.04164695739746
6,27.876325607299805
7,26.745664596557617
8,25.624919891357422
9,24.52703094482422
10,23.482494354248047
11,22.470754623413086
12,21.48172378540039
13,20.512300491333008
14,19.57659339904785
15,18.70070457458496
16,17.82489585876465
17,16.996477127075195
18,16.19679069519043
19,15.411394119262695
20,14.66688346862793
21,13.95753002166748
22,13.23572826385498
23,12.57259750366211
24,11.968751907348633
25,11.354182243347168
26,10.788630485534668
27,10.227018356323242
28,9.671855926513672
29,9.194982528686523
30,8.674957275390625
31,8.20771312713623
32,7.78690767288208
33,7.360352516174316
34,6.9568705558776855
35,6.643562316894531
36,6.240419387817383
37,5.896478652954102
38,5.576308250427246
39,5.299849510192871
40,4.964423179626465
41,4.716564178466797
42,4.491579055786133
43,4.2344770431518555
44,3.986884593963623
45,3.762826442718506
46,3.618034601211548
47,3.3869223594665527
48,3.16182279586792
49,3.0895631313323975
50,2.9138803482055664
51,2.7530932426452637
52,2.6179990768432617
53,2.467987298965454
54,2.348633289337158
55,2.261723756790161
56,2.1759557723999023
57,2.078223466873169
58,1.9972246885299683
59,1.8989341259002686
60,1.8380179405212402
61,1.7719119787216187
62,1.7651246786117554
63,1.7075080871582031
64,1.5873019695281982
65,1.5411088466644287
66,1.5193533897399902
67,1.5217223167419434
68,1.4722000360488892
69,1.4146161079406738
70,1.3995909690856934
71,1.3558156490325928
72,1.3695446252822876
73,1.3565871715545654
74,1.3419698476791382
75,1.3001652956008911
76,1.3011300563812256
77,1.2776644229888916
78,1.3196940422058105
79,1.3168318271636963
80,1.2769415378570557
81,1.2426488399505615
82,1.1956446170806885
83,1.2349661588668823
84,1.2551989555358887
85,1.2110271453857422
86,1.2200884819030762
87,1.152953028678894
88,1.2395532131195068
89,1.2375174760818481
90,1.221778392791748
91,1.2201073169708252
92,1.1948295831680298
93,1.2418766021728516
94,1.224260687828064
95,1.1979169845581055
96,1.1814723014831543
97,1.209254503250122
98,1.1891837120056152
99,1.191521406173706
100,1.1989952325820923
101,1.1800793409347534
102,1.2229034900665283
103,1.158869743347168
104,1.2287876605987549
105,1.273073673248291
106,1.2220631837844849
107,1.170560359954834
108,1.2004679441452026
109,1.2338404655456543
110,1.1869921684265137
111,1.2125877141952515
112,1.1972556114196777
113,1.173484206199646
114,1.2282459735870361
115,1.204093098640442
116,1.182665228843689
117,1.2462868690490723
118,1.2378770112991333
119,1.1922767162322998
120,1.231344223022461
121,1.1828243732452393
122,1.1718403100967407
123,1.2153677940368652
124,1.1598613262176514
125,1.1713926792144775
126,1.1674506664276123
127,1.2077596187591553
128,1.1931685209274292
129,1.2230515480041504
130,1.2399252653121948
131,1.2287033796310425
132,1.196183204650879
133,1.193928599357605
134,1.2504801750183105
135,1.1777805089950562
136,1.268019199371338
137,1.1987859010696411
138,1.1733001470565796
139,1.231462836265564
140,1.1985841989517212
141,1.1729178428649902
142,1.2784515619277954
143,1.1670416593551636
144,1.183406114578247
145,1.2509853839874268
146,1.1537673473358154
147,1.176013708114624
148,1.195886254310608
149,1.1543395519256592
150,1.2216347455978394
151,1.1904088258743286
152,1.2393532991409302
153,1.2231090068817139
154,1.1710402965545654
155,1.1814769506454468
156,1.1782506704330444
157,1.173377513885498
158,1.1852346658706665
159,1.1643270254135132
