layer_idx,in_idx,out_idx,formula,r2
1,6,3,-0.5635*1 + 1.3134*sin + -1.2865*tanh,0.5891254544258118
1,6,4,-0.6913*1 + -0.0429*exp + 0.0631*log,0.4871758818626404
1,6,5,0.3592*1 + 0.1160*cos + -0.0591*tanh,0.44684600830078125
1,6,6,0.2582*cos + -0.0221*exp + 0.1492*sqrt,0.7031821012496948
1,6,7,0.1660*1 + -0.3548*x + 0.3947*tanh,0.9324446320533752
1,6,8,0.0478*x^3 + -0.0906*exp + 0.2937*sqrt,0.8884453773498535
1,6,9,-0.2488*x + 0.2454*sqrt + 0.4162*tanh,0.4096512794494629
1,7,0,-0.0654*x^3 + 0.1747*exp + -0.4055*sqrt,0.7903292775154114
1,7,1,-0.2689*1 + 0.2702*sqrt + 0.1971*tanh,0.9028935432434082
1,7,2,-0.1278*x + 0.1265*exp + -0.3079*sqrt,0.9264854192733765
1,7,3,-0.5155*1 + -0.0163*x^3 + 0.0266*exp,0.4294435977935791
1,7,4,-0.9934*1 + 1.9475*sin + -1.8981*tanh,0.8248439431190491
1,7,5,0.6240*1 + -0.3714*x + 0.6807*tanh,0.3715413808822632
1,7,6,-0.7657*x + -0.1169*x^2 + 1.4289*tanh,0.7411253452301025
1,7,7,-0.1625*1 + 0.3048*cos + 0.2829*sqrt,0.6632602214813232
1,7,8,2.8964*sin + 0.0828*exp + -3.1610*tanh,0.6204450130462646
1,7,9,-0.0798*x^3 + 0.1959*exp + -0.5877*sqrt,0.8211301565170288
1,8,0,0.1342*exp + -0.4331*sqrt + -0.4537*tanh,0.8088896870613098
1,8,1,0.0558*x^4 + -0.2139*exp + 0.5558*tanh,0.669094443321228
1,8,2,0.4024*x + -0.1472*exp + 0.5092*sqrt,0.9358992576599121
1,8,3,0.2069*x^2 + 0.0891*log + -0.9057*sqrt,0.796238362789154
1,8,4,-0.7047*1 + -0.0668*sin + 0.0851*log,0.6794725656509399
1,8,5,0.4091*1 + 0.3298*x + -0.5919*tanh,0.3060547113418579
1,8,6,0.1267*1 + -0.4231*x + 0.7590*tanh,0.7948949337005615
1,8,7,-0.2780*x + -0.0121*x^4 + 0.1785*exp,0.9008186459541321
1,8,8,0.0374*1 + 0.4031*x + -0.6787*tanh,0.8703643679618835
1,8,9,0.1196*1 + 0.0238*exp + -0.1079*tanh,0.5845311284065247
1,9,0,0.5940*x + 0.0886*x^2 + -1.0904*tanh,0.7616708278656006
1,9,1,0.1154*x^2 + 0.0259*log + -0.4014*sqrt,0.5882586240768433
1,9,2,0.0361*cos + -0.0550*exp + 0.1371*sqrt,0.9086266160011292
1,9,3,-0.0243*x^4 + -0.0550*exp + 0.1521*log,0.8258042931556702
1,9,4,-0.8590*1 + -0.5775*x + 0.9953*tanh,0.318656861782074
1,9,5,0.1566*x^2 + 0.5058*cos + -0.0319*exp,0.8295616507530212
1,9,6,0.3447*1 + -2.2801*sin + 2.4661*tanh,0.4873364567756653
1,9,7,-0.0798*x^3 + 0.0842*exp + -0.0546*log,0.893779993057251
1,9,8,0.3282*x + -0.1301*sqrt + -0.4630*tanh,0.36775654554367065
1,9,9,-0.2123*exp + 0.8714*sqrt + 0.4853*tanh,0.8499422073364258
2,0,0,0.0097*x^4 + -0.0829*log + 0.1005*tanh,0.7144991159439087
2,1,0,0.2864*sin + 0.1937*cos + -0.0492*exp,0.8676095604896545
2,2,0,0.0239*x^4 + -0.0340*exp + -0.0910*log,0.8036238551139832
2,3,0,0.5965*1 + -0.0859*x^2 + -0.3717*cos,0.8841002583503723
2,4,0,0.3366*1 + -0.4043*x + 0.7450*tanh,0.51715487241745
2,5,0,-0.8418*x + 0.1444*exp + 1.1736*tanh,0.9041421413421631
2,6,0,0.3134*1 + 0.0396*x + -0.0705*exp,0.7256422638893127
2,7,0,0.2351*1 + -0.1572*x + 0.1725*tanh,0.6133390665054321
2,8,0,0.3117*x^2 + 0.4378*cos + -0.7363*sqrt,0.6725079417228699
2,9,0,-2.9501*sin + 0.5296*sqrt + 3.1157*tanh,0.49372541904449463
