step,loss
0,13.822144508361816
1,13.159666061401367
2,12.572154998779297
3,11.958425521850586
4,10.74329662322998
5,9.838057518005371
6,9.262955665588379
7,8.88985824584961
8,8.094133377075195
9,7.49906587600708
10,7.206789970397949
11,6.539520740509033
12,6.038516044616699
13,5.627202033996582
14,5.3067827224731445
15,4.933340072631836
16,4.658319473266602
17,4.354644298553467
18,4.154664039611816
19,3.8869266510009766
20,3.739272117614746
21,3.549356460571289
22,3.3895645141601562
23,3.373918294906616
24,3.221125602722168
25,3.108086585998535
26,2.9707376956939697
27,2.9026541709899902
28,2.709756851196289
29,2.6350936889648438
30,2.625352144241333
31,2.619241237640381
32,2.430604934692383
33,2.5462403297424316
34,2.3667378425598145
35,2.3355467319488525
36,2.207125663757324
37,2.201475143432617
38,2.0780675411224365
39,2.0143752098083496
40,1.8628942966461182
41,1.9163296222686768
42,1.73977530002594
43,1.772591471672058
44,1.6675264835357666
45,1.585482120513916
46,1.5004630088806152
47,1.3900479078292847
48,1.3970792293548584
49,1.3475327491760254
50,1.2476942539215088
51,1.2264554500579834
52,1.1659421920776367
53,1.0845544338226318
54,1.051680564880371
55,1.0455806255340576
56,1.0544265508651733
57,0.9474887251853943
58,0.8894797563552856
59,0.8764662742614746
60,0.8658990859985352
61,0.8390101790428162
62,0.7221889495849609
63,0.7574647665023804
64,0.6621673107147217
65,0.6560392379760742
66,0.6587384939193726
67,0.6518843173980713
68,0.5927268266677856
69,0.5996396541595459
70,0.5674636960029602
71,0.5450623035430908
72,0.5224902629852295
73,0.5016263127326965
74,0.48324114084243774
75,0.41936227679252625
76,0.46049660444259644
77,0.4301503896713257
78,0.4316347539424896
79,0.40340712666511536
80,0.42789244651794434
81,0.38609230518341064
82,0.3784029483795166
83,0.37775856256484985
84,0.38045746088027954
85,0.35412174463272095
86,0.3607234060764313
87,0.32241493463516235
88,0.335384726524353
89,0.30988943576812744
90,0.32023122906684875
91,0.2885117828845978
92,0.3177562355995178
93,0.29473942518234253
94,0.29167258739471436
95,0.2628072500228882
96,0.281858891248703
97,0.2733525335788727
98,0.25781959295272827
99,0.2422134131193161
100,0.2471788227558136
101,0.24873550236225128
102,0.2346723973751068
103,0.22548218071460724
104,0.21877776086330414
105,0.21818342804908752
106,0.20898130536079407
107,0.20577417314052582
108,0.20989400148391724
109,0.19090348482131958
110,0.1889912188053131
111,0.1772213876247406
112,0.18668240308761597
113,0.17860394716262817
114,0.16914516687393188
115,0.16162946820259094
116,0.1717522144317627
117,0.15980315208435059
118,0.1469212770462036
119,0.15707869827747345
120,0.14690063893795013
121,0.14786481857299805
122,0.14196904003620148
123,0.1362767219543457
124,0.13630661368370056
125,0.1329030841588974
126,0.12951910495758057
127,0.12646090984344482
128,0.12004495412111282
129,0.12114021182060242
130,0.11500629782676697
131,0.11598597466945648
132,0.11115296185016632
133,0.10738770663738251
134,0.10944154858589172
135,0.10056689381599426
136,0.10522318631410599
137,0.09924498200416565
138,0.09710229933261871
139,0.09746244549751282
140,0.09347033500671387
141,0.09300974011421204
142,0.0904870480298996
143,0.09190613031387329
144,0.090547576546669
145,0.08994124829769135
146,0.08338015526533127
147,0.08304242044687271
148,0.0844503790140152
149,0.07525243610143661
150,0.07729490101337433
151,0.08020661771297455
152,0.0749550610780716
153,0.07563721388578415
154,0.07609806209802628
155,0.07320855557918549
156,0.07097122073173523
157,0.07386772334575653
158,0.07066270709037781
159,0.06518030166625977
160,0.0687844455242157
161,0.066812664270401
162,0.06605033576488495
163,0.06402859836816788
164,0.06268481910228729
165,0.06203266233205795
166,0.06321731954813004
167,0.06262734532356262
168,0.058291587978601456
169,0.059638261795043945
170,0.05818405747413635
171,0.057753778994083405
172,0.05964682623744011
173,0.05656471475958824
174,0.05717810243368149
175,0.057263102382421494
176,0.057955652475357056
177,0.056273479014635086
178,0.050315018743276596
179,0.053494151681661606
180,0.054733943194150925
181,0.049746863543987274
182,0.05418192595243454
183,0.05285131558775902
184,0.05215832591056824
185,0.053008727729320526
186,0.04898356273770332
187,0.04905565455555916
188,0.04780784994363785
189,0.05043727532029152
190,0.04938667267560959
191,0.048342254012823105
192,0.04849579930305481
193,0.04685884714126587
194,0.048140011727809906
195,0.047584354877471924
196,0.04456423595547676
197,0.04611578583717346
198,0.04735143482685089
199,0.04516496881842613
200,0.04561683535575867
201,0.043974921107292175
202,0.0451100692152977
203,0.04085414111614227
204,0.04338407143950462
205,0.04387500882148743
206,0.043796293437480927
207,0.04335494339466095
208,0.039722975343465805
209,0.04235617816448212
210,0.04074649140238762
211,0.03936109319329262
212,0.04173315316438675
213,0.03996353596448898
214,0.040497228503227234
215,0.03961218148469925
216,0.038211047649383545
217,0.03963065892457962
218,0.03969484567642212
219,0.039562154561281204
220,0.03975179046392441
221,0.0363328717648983
222,0.03761257231235504
223,0.036647602915763855
224,0.03685513883829117
225,0.038590725511312485
226,0.03742731735110283
227,0.03673148155212402
228,0.036063212901353836
229,0.03628569841384888
230,0.03585837036371231
231,0.036061786115169525
232,0.03494909405708313
233,0.03445989266037941
234,0.034947220236063004
235,0.0365719273686409
236,0.03206794336438179
237,0.03336578607559204
238,0.03360014408826828
239,0.03371482715010643
240,0.03287403658032417
241,0.03285963460803032
242,0.03423667699098587
243,0.03412963077425957
244,0.03128442540764809
245,0.0349188931286335
246,0.034243203699588776
247,0.030643705278635025
248,0.03245948255062103
249,0.032238565385341644
250,0.03266409412026405
251,0.030663449317216873
252,0.031335458159446716
253,0.0317385271191597
254,0.0315517857670784
255,0.02988852746784687
256,0.03154114633798599
257,0.030669348314404488
258,0.0302499420940876
259,0.028961770236492157
260,0.030166149139404297
261,0.03133106604218483
262,0.02876879647374153
263,0.029249267652630806
264,0.029553692787885666
265,0.029720839112997055
266,0.028241943567991257
267,0.028875868767499924
268,0.028080912306904793
269,0.027441371232271194
270,0.02815086767077446
271,0.028091318905353546
272,0.028897862881422043
273,0.029943613335490227
274,0.02950119972229004
275,0.028597023338079453
276,0.02826971746981144
277,0.027851847931742668
278,0.028094597160816193
279,0.028209589421749115
280,0.026084018871188164
281,0.027535852044820786
282,0.027079753577709198
283,0.028254808858036995
284,0.026583584025502205
285,0.026163659989833832
286,0.025638287886977196
287,0.02596428245306015
288,0.02732964977622032
289,0.026689333841204643
290,0.027360353618860245
291,0.026842469349503517
292,0.02716481126844883
293,0.02607891708612442
294,0.02612273395061493
295,0.025980176404118538
296,0.025096386671066284
297,0.025450317189097404
298,0.025730110704898834
299,0.025959620252251625
300,0.024154622107744217
301,0.024776795879006386
302,0.025530505925416946
303,0.023871934041380882
304,0.02592335268855095
305,0.024902451783418655
306,0.02449454367160797
307,0.025174450129270554
308,0.024034537374973297
309,0.024207230657339096
310,0.02349410392343998
311,0.024173693731427193
312,0.02452772855758667
313,0.024189423769712448
314,0.02450684830546379
315,0.023475119844079018
316,0.024342726916074753
317,0.022591935470700264
318,0.024118643254041672
319,0.02303898334503174
320,0.02325204387307167
321,0.023937927559018135
322,0.023988107219338417
323,0.02473873645067215
324,0.023967627435922623
325,0.02232949808239937
326,0.02348516508936882
327,0.02411656640470028
328,0.023014113306999207
329,0.022825390100479126
330,0.022441808134317398
331,0.02343108132481575
332,0.02305733598768711
333,0.02190447598695755
334,0.02298147976398468
335,0.022451035678386688
336,0.022003164514899254
337,0.021758537739515305
338,0.022957636043429375
339,0.021426130086183548
340,0.02170577086508274
341,0.022010086104273796
342,0.021018188446760178
343,0.022467581555247307
344,0.022041890770196915
345,0.02184942364692688
346,0.022516686469316483
347,0.021557677537202835
348,0.021204739809036255
349,0.020948711782693863
350,0.021696675568819046
351,0.02027471363544464
352,0.02213514968752861
353,0.021188288927078247
354,0.021169662475585938
355,0.021262438967823982
356,0.02162257954478264
357,0.020436257123947144
358,0.02118590846657753
359,0.020589634776115417
360,0.019590239971876144
361,0.02059895545244217
362,0.020903613418340683
363,0.02030748873949051
364,0.020113643258810043
365,0.0197734534740448
366,0.020745258778333664
367,0.020535551011562347
368,0.02094274014234543
369,0.020664138719439507
370,0.019959956407546997
371,0.020277155563235283
372,0.019890902563929558
373,0.02038055844604969
374,0.020093385130167007
375,0.020754864439368248
376,0.019686399027705193
377,0.019536007195711136
378,0.019164914265275
379,0.020150456577539444
380,0.020306292921304703
381,0.01961715891957283
382,0.01935143768787384
383,0.01999938115477562
384,0.02053571306169033
385,0.01983831822872162
386,0.019378721714019775
387,0.019394559785723686
388,0.02024438977241516
389,0.019672652706503868
390,0.018928997218608856
391,0.019818641245365143
392,0.018686342984437943
393,0.01937229558825493
394,0.018745221197605133
395,0.019626827910542488
396,0.019454538822174072
397,0.01900002360343933
398,0.018142854794859886
399,0.019340630620718002
400,0.019268378615379333
401,0.018799636512994766
402,0.017867032438516617
403,0.018436424434185028
404,0.01791129633784294
405,0.017726389691233635
406,0.01905146986246109
407,0.01815251260995865
408,0.019026916474103928
409,0.018228191882371902
410,0.018103990703821182
411,0.01899416744709015
412,0.018700072541832924
413,0.018638011068105698
414,0.018614361062645912
415,0.018552251160144806
416,0.018822988495230675
417,0.01801653951406479
418,0.018370559439063072
419,0.016624536365270615
420,0.017724115401506424
421,0.01791812852025032
422,0.01911495253443718
423,0.018347665667533875
424,0.017869923263788223
425,0.017550364136695862
426,0.017353951930999756
427,0.01767825148999691
428,0.017765041440725327
429,0.01699058897793293
430,0.017786072567105293
431,0.017562733963131905
432,0.016850940883159637
433,0.018116019666194916
434,0.017091233283281326
435,0.01719009503722191
436,0.017840825021266937
437,0.016896670684218407
438,0.017085717990994453
439,0.01761469431221485
440,0.017375072464346886
441,0.01693575456738472
442,0.016840236261487007
443,0.017066117376089096
444,0.017351727932691574
445,0.017344167456030846
446,0.01715940609574318
447,0.01731303706765175
448,0.01705888658761978
449,0.017356298863887787
450,0.017321323975920677
451,0.016552135348320007
452,0.017273753881454468
453,0.01737484708428383
454,0.016968630254268646
455,0.017094196751713753
456,0.01659528911113739
457,0.015813477337360382
458,0.017720792442560196
459,0.016934523358941078
460,0.016522295773029327
461,0.01627427153289318
462,0.016433171927928925
463,0.01653709076344967
464,0.01576659083366394
465,0.0167933851480484
466,0.015649795532226562
467,0.015982871875166893
468,0.01622556522488594
