layer_idx,in_idx,out_idx,formula,r2
0,0,0,-0.0446*x^3 + -1.0188*sin + 1.2192*tanh,0.9170214533805847
0,0,1,-0.0937*x^2 + -0.0418*exp + 0.1896*sqrt,0.9020226001739502
0,0,2,-0.1003*1 + -0.0484*x^3 + 0.0321*exp,0.8559983968734741
0,0,3,-0.0077*x^4 + 0.0548*log + -0.1140*tanh,0.7599285244941711
0,0,4,0.0656*x^3 + -0.1739*exp + 0.3885*sqrt,0.8531826138496399
0,0,5,0.5208*x + -0.0370*exp + -0.5923*tanh,0.8372892141342163
0,0,6,0.0187*x^4 + 0.2767*cos + -0.2558*sqrt,0.9401809573173523
0,0,7,-0.2070*exp + 0.4322*sqrt + 0.4035*tanh,0.862870454788208
0,0,8,0.0963*1 + -2.1134*sin + 2.2986*tanh,0.310028076171875
0,0,9,-0.4152*1 + -0.2308*x^2 + 0.9177*sqrt,0.7598656415939331
1,0,0,-1.9181*1 + 0.0909*x + 0.0878*sqrt,0.8102744817733765
1,0,1,-0.0947*x^3 + 0.4608*cos + 0.2018*exp,0.8459329009056091
1,0,2,-0.0643*x^3 + 0.0821*cos + 0.1301*exp,0.9258736968040466
1,0,3,-0.0658*x^3 + -4.9563*sin + 5.4331*tanh,0.35930055379867554
1,0,4,-0.2245*1 + -2.4481*sin + 2.3722*tanh,0.6089117527008057
1,0,5,-0.7405*1 + -0.0393*x^3 + 0.3936*sqrt,0.8781144618988037
1,0,6,0.5491*x^2 + -0.0204*x^4 + 1.6516*cos,0.8194916844367981
1,0,7,0.3275*x^2 + -0.0252*x^3 + 0.8543*cos,0.7100595235824585
1,0,8,0.0236*x^3 + -0.4345*cos + -0.6056*sqrt,0.8635239601135254
1,0,9,-0.1462*x^2 + 0.0471*sin + 0.3750*sqrt,0.7478928565979004
1,1,0,-2.1498*1 + -0.1967*x^2 + 0.8700*sqrt,0.7553294897079468
1,1,1,0.5078*1 + 1.9351*sin + -1.9266*tanh,0.5570479035377502
1,1,2,-0.1646*sin + -0.1166*log + -0.3160*sqrt,0.8458256125450134
1,1,3,-2.2414*sin + -0.2150*sqrt + 2.3870*tanh,0.7220008373260498
1,1,4,0.0776*x^3 + -0.1423*cos + -0.1828*exp,0.7782067656517029
1,1,5,-0.5544*1 + 0.5802*x + -0.8253*tanh,0.5657484531402588
1,1,6,1.8170*1 + 0.0391*x^3 + -0.0421*exp,0.5522745847702026
1,1,7,-0.0285*x^3 + 0.6024*cos + 1.1441*sqrt,0.7717495560646057
1,1,8,0.2904*x^2 + 0.0783*log + -1.4703*sqrt,0.8965054750442505
1,1,9,0.0968*exp + -0.2186*sqrt + -0.1639*tanh,0.7368170619010925
1,2,0,-1.8756*1 + -0.0579*exp + 0.1718*sqrt,0.9399799108505249
1,2,1,0.1773*sin + 0.4441*cos + 0.7309*sqrt,0.893808901309967
1,2,2,-0.2432*x^2 + -0.0160*x^3 + 0.7029*sqrt,0.5725188255310059
1,2,3,-0.0157*x^4 + -3.2259*sin + 3.3754*tanh,0.6878665685653687
1,2,4,-0.0074*x^3 + -0.2535*cos + -0.5096*sqrt,0.6286095380783081
1,2,5,0.3858*x + -0.2192*exp + 0.1460*log,0.6901282072067261
1,2,6,1.6781*1 + -0.0837*exp + 0.3254*tanh,0.8468196392059326
1,2,7,-0.5279*x + 0.5306*cos + 0.3018*exp,0.7765284776687622
1,2,8,-0.6108*1 + -1.3174*sin + 1.3318*tanh,0.6406856775283813
1,2,9,0.0750*1 + 0.6904*sin + -0.6784*tanh,0.7667280435562134
1,3,0,-1.9172*1 + 0.0906*exp + -0.2550*tanh,0.5922529697418213
1,3,1,0.4592*1 + 0.1079*exp + -0.5170*tanh,0.9655367136001587
1,3,2,-0.0521*x^3 + 0.0940*cos + 0.1148*exp,0.7134741544723511
1,3,3,2.1138*sin + -0.0965*cos + -2.2786*tanh,0.707823634147644
1,3,4,-0.5009*1 + -0.5945*x + 0.9985*tanh,0.8436245918273926
1,3,5,-0.5869*1 + -0.0941*sqrt + -0.1071*tanh,0.6255396604537964
1,3,6,1.5306*1 + 0.0214*exp + -0.0284*log,0.4699885845184326
1,3,7,1.1846*1 + 0.0302*x^4 + -0.7511*sqrt,0.8870471715927124
1,3,8,-0.6781*1 + -0.1304*sin + 0.0565*exp,0.752072274684906
1,3,9,-0.0468*x^3 + 0.1407*cos + 0.0325*exp,0.8192565441131592
1,4,0,-1.6729*1 + -0.0657*sin + 0.0736*log,0.7737395167350769
1,4,1,-0.3002*x + 0.4084*cos + 0.1565*exp,0.8578834533691406
1,4,2,-0.1477*x^2 + 0.1778*exp + -0.3627*tanh,0.7362857460975647
1,4,3,-0.1278*x + 0.0669*x^3 + -0.0704*exp,0.9165765047073364
1,4,4,-0.0421*x^4 + -0.1249*sin + 0.1326*log,0.6964257955551147
1,4,5,-0.4351*1 + 0.0741*x^3 + -0.1147*exp,0.526045560836792
1,4,6,1.5351*1 + -0.0435*x^3 + 0.1020*exp,0.8605467677116394
1,4,7,0.8738*1 + -0.3540*x + 0.6307*tanh,0.5371001958847046
1,4,8,-0.7871*1 + -0.0985*x^2 + 0.5520*sqrt,0.3650946617126465
1,4,9,-0.0800*x^3 + -0.0310*x^4 + 0.1486*exp,0.4879181981086731
1,5,0,-1.8599*1 + 0.7773*sin + -0.6888*tanh,0.9091065526008606
1,5,1,0.7175*1 + -0.4286*sqrt + 0.1286*tanh,0.6938542127609253
1,5,2,0.1558*x + -0.1484*x^2 + 0.6348*sqrt,0.9702280163764954
1,5,3,-0.0294*x^3 + 0.0113*x^4 + -0.4004*sqrt,0.813287615776062
1,5,4,-0.3371*1 + 2.4511*sin + -2.4078*tanh,0.8209655284881592
1,5,5,-0.7089*1 + -0.0364*log + -0.0921*tanh,0.6896275281906128
1,5,6,1.6715*1 + -0.0366*x^3 + 0.2612*sin,0.7923741340637207
1,5,7,0.3106*x^2 + -0.0310*x^3 + 0.9181*cos,0.7268822193145752
1,5,8,-0.5706*1 + -0.4626*x + 0.6848*tanh,0.8337060213088989
1,5,9,0.1338*1 + -0.0200*x^3 + -0.1125*sqrt,0.8705610036849976
1,6,0,-1.9389*1 + 0.2086*exp + -0.5683*tanh,0.7739031910896301
1,6,1,-0.0390*x^3 + 0.4713*cos + 0.1411*exp,0.789920449256897
1,6,2,-0.2497*x^2 + -0.2402*sin + 0.6992*sqrt,0.9096311330795288
1,6,3,-0.2323*1 + 0.0419*exp + -0.2484*tanh,0.8316090106964111
