step,loss
0,87.07709503173828
1,66.4489974975586
2,48.305259704589844
3,32.74483871459961
4,20.306285858154297
5,11.323492050170898
6,5.651566982269287
7,2.6497955322265625
8,1.8634998798370361
9,2.3261382579803467
10,3.308279514312744
11,4.250799179077148
12,4.716443061828613
13,4.7048139572143555
14,4.318381309509277
15,3.7249701023101807
16,3.264066696166992
17,3.039108991622925
18,2.877073287963867
19,2.797131061553955
20,2.839181900024414
21,2.6378002166748047
22,2.3526482582092285
23,2.0852208137512207
24,1.6121200323104858
25,1.3799844980239868
26,1.233904242515564
27,1.2180676460266113
28,1.336003303527832
29,1.4451828002929688
30,1.6195008754730225
31,1.5818183422088623
32,1.58917236328125
33,1.4113116264343262
34,1.309324026107788
35,1.1603505611419678
36,1.0332200527191162
37,0.9651986956596375
38,0.9124736189842224
39,0.9052006006240845
40,0.9453754425048828
41,0.9880339503288269
42,0.9779374599456787
43,0.9685133099555969
44,0.8931531310081482
45,0.8467371463775635
46,0.8087965250015259
47,0.8094273209571838
48,0.7886331677436829
49,0.7873280048370361
50,0.7649560570716858
51,0.7706512212753296
52,0.7900599837303162
53,0.7342751622200012
54,0.7304152846336365
55,0.7333638072013855
56,0.7066015005111694
57,0.6840597987174988
58,0.6953862905502319
59,0.6943376660346985
60,0.6885889172554016
61,0.7029628753662109
62,0.7068403363227844
63,0.7001973390579224
64,0.6773160696029663
65,0.6845287084579468
66,0.6764839887619019
67,0.656840443611145
68,0.6651973128318787
69,0.6446563601493835
70,0.6580816507339478
71,0.6693574786186218
72,0.667952835559845
73,0.6614751815795898
74,0.6477459669113159
75,0.6487810611724854
76,0.6356036067008972
77,0.6475180983543396
78,0.6272523999214172
79,0.6483594179153442
80,0.6428624391555786
81,0.6487160325050354
82,0.6361938714981079
83,0.6329119205474854
84,0.6283208131790161
85,0.6369473338127136
86,0.6283318996429443
87,0.6299337148666382
88,0.6313732266426086
89,0.6237603425979614
90,0.6185569763183594
91,0.632354736328125
92,0.619785487651825
93,0.619896650314331
94,0.6247363686561584
95,0.6198198199272156
96,0.6221168637275696
97,0.6169838905334473
98,0.6212524175643921
